%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 1600 Hz
%Board = OpenBCI_GUI$BoardGanglionWifi
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
26.0, 35.996534861357254, -29.610656079459332, 114.37361341610676, -11.316936570438136, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631432E9, 0.0, 2021-09-30 13:31:07.631
27.0, 37.75989758209803, -29.629355578088607, 105.52127076500726, -10.286594195965, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314356E9, 0.0, 2021-09-30 13:31:07.631
28.0, 35.843198972597186, -25.56969442567268, 97.32902041552123, -13.39819076787661, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314392E9, 0.0, 2021-09-30 13:31:07.631
29.0, 35.882467919718664, -24.06625473587885, 93.2151307170804, -13.919906779633424, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314423E9, 0.0, 2021-09-30 13:31:07.631
30.0, 37.09793533062164, -23.42112203316881, 87.5547924819984, -7.40687140705642, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631446E9, 0.0, 2021-09-30 13:31:07.631
31.0, 39.624237595436895, -23.40429248440246, 77.19901014110509, 0.613343555040269, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314497E9, 0.0, 2021-09-30 13:31:07.631
32.0, 42.232817654220966, -25.41074868732383, 74.48197299027122, 6.453196976963318, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314597E9, 0.0, 2021-09-30 13:31:07.631
33.0, 46.528092489365775, -23.08640100770476, 73.97147667769197, 14.533250334673692, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314633E9, 0.0, 2021-09-30 13:31:07.631
34.0, 52.00704558774379, -19.196905292815252, 67.14241977828019, 17.88233053917711, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314666E9, 0.0, 2021-09-30 13:31:07.631
35.0, 55.61043897360537, -17.211018538386085, 52.32493706444149, 13.018590945702297, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314702E9, 0.0, 2021-09-30 13:31:07.631
36.0, 54.98026586979875, -14.050803270038358, 33.11120222285989, 3.515505742303981, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314735E9, 0.0, 2021-09-30 13:31:07.631
37.0, 55.17848055526908, -6.829056899411777, 35.88620781944452, 12.76988761393292, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631477E9, 0.0, 2021-09-30 13:31:07.631
38.0, 58.226498831841155, -0.1701654375264161, 53.68813051451575, 80.90899066915354, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314805E9, 0.0, 2021-09-30 13:31:07.631
39.0, 58.74634489373504, -1.5988071328031404, 66.6898919114517, 175.32088929850764, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314838E9, 0.0, 2021-09-30 13:31:07.631
40.0, 53.8676457013568, -7.6537047889628695, 75.62077245679414, 187.04360498920107, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314871E9, 0.0, 2021-09-30 13:31:07.631
41.0, 50.31287101193134, -13.31030312431901, 80.40223425630015, 94.60263351537272, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314905E9, 0.0, 2021-09-30 13:31:07.631
42.0, 49.66586835935837, -19.00617040679663, 79.32701308511675, 5.66407813480785, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314943E9, 0.0, 2021-09-30 13:31:07.631
43.0, 49.72757670483499, -21.635319914072905, 73.3992720196361, -28.305431075135832, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676314976E9, 0.0, 2021-09-30 13:31:07.631
44.0, 49.766845651956466, -23.733403660277727, 68.84220420368142, -20.593757840422203, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315012E9, 0.0, 2021-09-30 13:31:07.631
45.0, 50.46994680041726, -24.24763987258283, 61.72517502537878, -17.027763451819176, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315045E9, 0.0, 2021-09-30 13:31:07.631
46.0, 53.02429831317643, -26.14937888318025, 64.65912636031227, -34.42577697649803, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631508E9, 0.0, 2021-09-30 13:31:07.631
47.0, 58.106822040613785, -28.612102852655966, 75.51792521433313, -44.964814403958265, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315112E9, 0.0, 2021-09-30 13:31:07.631
48.0, 60.73036169830127, -30.59798960708513, 80.2638579664435, -44.364560497958486, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315148E9, 0.0, 2021-09-30 13:31:07.631
49.0, 61.49704114210161, -31.41515769718451, 85.24353445141983, -34.86895509401188, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631518E9, 0.0, 2021-09-30 13:31:07.631
50.0, 62.75177750012607, -27.052564666974305, 86.15233008480267, -26.042791740993376, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315217E9, 0.0, 2021-09-30 13:31:07.631
51.0, 63.3426816568112, -26.21295717851979, 85.67362291989319, -20.672295734665166, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631525E9, 0.0, 2021-09-30 13:31:07.631
52.0, 61.85794146564665, -30.55124086051194, 80.00767483522242, -20.49465049768704, 0.008, 0.122, 1.031, 192.0, 0.0, 122.0, 0.0, 8.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315308E9, 0.0, 2021-09-30 13:31:07.631
