%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 1600 Hz
%Board = OpenBCI_GUI$BoardGanglionWifi
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
55.0, 8.985109091367356, 42.84616120926123, 37.290540166503185, 23.228517197287264, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750448E9, 0.0, 2021-09-30 12:25:29.175
56.0, 6.346609834776443, 44.93489520615142, 30.12863219149029, 18.738767576397976, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632979529175048E9, 0.0, 2021-09-30 12:25:29.175
57.0, 5.181631070172517, 49.86595299469163, 30.895311635290625, 16.046039773782162, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750517E9, 0.0, 2021-09-30 12:25:29.175
58.0, 2.556221462622097, 49.622859512511035, 33.07567317546427, 18.5779518881862, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750553E9, 0.0, 2021-09-30 12:25:29.175
59.0, 3.5229855417556917, 46.860943564966895, 29.242275956462585, 23.42112203316881, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750584E9, 0.0, 2021-09-30 12:25:29.175
60.0, 1.019122675295569, 48.37934285366415, 27.697697369684345, 28.78974808963409, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632979529175062E9, 0.0, 2021-09-30 12:25:29.175
61.0, -1.75027307170028, 49.94075098920874, 27.492002884762304, 30.579290108455854, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750724E9, 0.0, 2021-09-30 12:25:29.175
62.0, -1.537098787326528, 46.554271787446766, 25.700590916077616, 28.032418395148394, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750755E9, 0.0, 2021-09-30 12:25:29.175
63.0, -5.4527738002970265, 45.99328682856847, 25.373349690065275, 26.43548121220818, 0.007, 0.061, 1.034, 192.0, 0.0, 61.0, 0.0, 7.0, 251.0, 246.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750789E9, 0.0, 2021-09-30 12:25:29.175
64.0, -6.024978458352887, 47.786568747116085, 17.682245903843853, 23.939098145199768, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750824E9, 0.0, 2021-09-30 12:25:29.175
65.0, -3.511765842578126, 47.62388310904138, 16.466778492940882, 20.803192225070102, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750858E9, 0.0, 2021-09-30 12:25:29.175
66.0, -8.190380399623105, 47.56217476356477, 18.312419007650472, 20.10570092619809, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750891E9, 0.0, 2021-09-30 12:25:29.175
67.0, -8.826163353018506, 45.16489903929152, 23.737143560003584, 19.483007621843182, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750927E9, 0.0, 2021-09-30 12:25:29.175
68.0, -5.076913877848568, 43.00323699774716, 29.971556403004367, 22.66005243895726, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632979529175096E9, 0.0, 2021-09-30 12:25:29.175
69.0, -5.233989666334491, 41.391340215903526, 33.625438435164995, 26.69166434342927, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291750991E9, 0.0, 2021-09-30 12:25:29.175
70.0, -1.142539366248794, 42.22533785476926, 35.96100581396163, 25.893195751959162, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751025E9, 0.0, 2021-09-30 12:25:29.175
71.0, 1.4473411939060008, 41.70362184301244, 33.7002364296821, 19.888786742098482, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632979529175106E9, 0.0, 2021-09-30 12:25:29.175
72.0, 0.41325891970701056, 39.205368826141104, 28.58592355457498, 20.04773248044733, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751091E9, 0.0, 2021-09-30 12:25:29.175
73.0, 1.194897962410768, 39.654156793243736, 24.958220820495338, 21.351087534907904, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751127E9, 0.0, 2021-09-30 12:25:29.175
74.0, 5.174151270720806, 39.85050152885114, 27.93331105241323, 22.345900861985413, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632979529175116E9, 0.0, 2021-09-30 12:25:29.175
75.0, 9.044947486981041, 35.936696465743566, 26.121329635236336, 18.37038745340123, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751196E9, 0.0, 2021-09-30 12:25:29.175
76.0, 10.209926251584967, 36.927769893095224, 21.962561140085246, 12.225732203820973, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751227E9, 0.0, 2021-09-30 12:25:29.175
77.0, 5.660338235081995, 34.87082504387481, 23.838120852601676, 15.986201378168476, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751263E9, 0.0, 2021-09-30 12:25:29.175
78.0, 3.3472102546404927, 35.47668879946337, 28.53543490827593, 18.822915320229722, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751294E9, 0.0, 2021-09-30 12:25:29.175
79.0, 8.700876712202353, 34.80350684880941, 31.693780226760733, 18.237621013133367, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751328E9, 0.0, 2021-09-30 12:25:29.175
80.0, 12.779237363247557, 36.93898959227279, 32.35200257851127, 18.60039128654133, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632979529175136E9, 0.0, 2021-09-30 12:25:29.175
81.0, 11.22530902715468, 38.59202527110083, 24.939521321866064, 17.214758438111943, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751423E9, 0.0, 2021-09-30 12:25:29.175
82.0, 12.3154897972415, 36.834272399948844, 22.47305745266449, 13.38136121911026, 0.011, 0.065, 1.04, 192.0, 0.0, 65.0, 0.0, 11.0, 251.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329795291751456E9, 0.0, 2021-09-30 12:25:29.175
